xmlElement,conceptURI
,http://www.w3.org/2006/time#unitYear
MONTH,http://www.w3.org/2006/time#unitMonth
,http://www.w3.org/2006/time#unitWeek
DAY,http://www.w3.org/2006/time#unitDay
,http://www.w3.org/2006/time#unitHour
,http://www.w3.org/2006/time#unitMinute
,http://www.w3.org/2006/time#unitSecond
